ILI,ILCESI,MAHALLESI,DAIRE_YASAL_M2,KAT_NO,BINA_YASI,KAT_ADEDI,İNŞAAT_SEVİYESİ,ASANSÖR,DAIRE_SALON,DAIRE_MUTFAK,DAIRE_ODA,DAIRE_BANYO,NIHAI_DEGERI,ADRES,DOLAR,TÜFE_KONUT,TÜFE_KİRA,TÜFE_KONUTBAKIM,TÜFE_KONUTLAİLGİLİ,TÜFE,ÜFE,KONUT_FAİZ,CAM,KİL,ÇİMENTO,METAL,KFE,KFB
İSTANBUL,PENDİK,ESENLER,93.0,2,4,12,93,1,1,1.0,3,1,3136100.0,İSTANBUL_PENDİK_ESENLER,6.4528,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,VELİBABA,85.0,3,35,6,100,0,1,1.0,2,1,2700000.0,İSTANBUL_PENDİK_VELİBABA,6.4528,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,DUMLUPINAR,69.0,5,6,8,100,1,1,1.0,2,1,2900000.0,İSTANBUL_PENDİK_DUMLUPINAR,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YAYALAR,155.0,4,23,6,100,1,1,1.0,4,3,4500000.0,İSTANBUL_PENDİK_YAYALAR,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,BATI,125.0,10,6,17,100,1,1,1.0,3,2,14250000.0,İSTANBUL_PENDİK_BATI,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,BATI,125.0,13,6,17,100,1,1,1.0,3,2,15000000.0,İSTANBUL_PENDİK_BATI,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,BATI,125.0,11,6,17,100,1,1,1.0,3,2,14500000.0,İSTANBUL_PENDİK_BATI,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YAYALAR,65.0,1,7,8,100,1,1,1.0,2,1,2500000.0,İSTANBUL_PENDİK_YAYALAR,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,ÇINARDERE,90.0,3,32,7,100,0,1,1.0,3,1,2500000.0,İSTANBUL_PENDİK_ÇINARDERE,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
İSTANBUL,PENDİK,YAYALAR,102.0,8,4,11,100,1,1,1.0,3,2,4200000.0,İSTANBUL_PENDİK_YAYALAR,6.4512,496.96,538.69,467.08,374.64,450.58,468.69,11.4025,382.86,499.48,395.87,674.77,111.2,5223.2
